trial,start_time,rt,correct,condition,mask,test,presented_cue,user_answer,fact_id,question,answer,alpha
4,23250.786999997217,1730.1781999995,True,instrument,True,test,clarinet,clarinet,2,clarinet,clarinet,0.3
5,26767.471999992267,2221.7970000056084,True,instrument,True,test,piano,piano,10,piano,piano,0.3
6,30665.198299990152,5723.507100003189,False,instrument,True,test,frenchhorn,franchehorn,6,frenchhorn,french horn,0.3
7,40846.70359999291,1366.1361999984365,True,instrument,True,test,harp,harp,8,harp,harp,0.3
8,43860.97369999334,711.7013999959454,False,instrument,True,test,maraccas,l,9,maraccas,maraccas,0.3
9,49909.826199989766,inf,False,instrument,True,test,accordeon,completely erased,1,accordeon,accordeon,0.3
10,72001.26019999152,2203.449400010868,True,instrument,True,test,drums,drums,3,drums,drums,0.3
11,77882.21469998825,4122.982900007628,False,instrument,True,test,maraccas,marracass,9,maraccas,maraccas,0.3
12,85496.46429999848,7084.218099989812,True,instrument,True,test,electric_guitar,electric guitar,4,electric_guitar,electric guitar,0.3
13,96960.82880000176,2139.7107999946456,True,instrument,True,test,piano,piano,10,piano,piano,0.3
14,194916.73060000176,3976.108499991824,True,instrument,True,learning,harmonica,harmonica,7,harmonica,harmonica,0.3
15,215356.83150000114,4944.130799995037,True,instrument,True,test,accordeon,accordeon,1,accordeon,accordeon,0.3
16,229432.74839999503,8548.161300001084,True,instrument,True,test,frenchhorn,french horn,6,frenchhorn,french horn,0.312890625
17,246676.9159999967,3088.1036999926437,False,instrument,True,test,drums,frums,3,drums,drums,0.3
18,260253.59429999662,3007.1642999973847,True,instrument,True,test,flute,flute,5,flute,flute,0.3
19,278783.46999999485,11869.3889999995,False,instrument,True,test,accordeon,accorden,1,accordeon,accordeon,0.300390625
20,298076.18759998877,2816.451300008339,True,instrument,True,test,harp,harp,8,harp,harp,0.3
21,308455.4391999991,3414.021499993396,True,instrument,True,test,electric_guitar,electric guitar,4,electric_guitar,electric guitar,0.3
22,321583.7022999913,3292.893300007563,False,instrument,True,test,harmonica,harmoica,7,harmonica,harmonica,0.300390625
23,335245.62639999203,2215.3475000086473,True,instrument,True,test,maraccas,maraccas,9,maraccas,maraccas,0.250390625
24,345176.1878999969,4093.8485999940895,True,instrument,True,test,piano,piano,10,piano,piano,0.302734375
25,355805.45909999637,1583.444599993527,True,instrument,True,test,harp,harp,8,harp,harp,0.250390625
26,388295.2704999916,1581.7912000056822,False,instrument,True,test,clarinet,flute,2,clarinet,clarinet,0.3

